,Title,Series or Movie,COUNTRY,Release Date,GENRE,VALUE,Genre_all,Tags,Languages,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,Production House,Summary,IMDb Votes
1168,símiamor,Movie,Peru,2020-01-23,Comedy,127,Comedy,"Romantic Comedies,Comedies,Romantic Films,International Comedies,Peruvian Movies,Latin American Films","Spanish, English",6.9,"United Kingdom,Sweden,France,Iceland,Slovakia,Lithuania,Argentina,Russia,Canada,Czech Republic,South Africa,India,Spain,Australia,Portugal,Hungary,Switzerland,Japan,Mexico,Belgium,Germany,Greece,Hong Kong,Singapore,Thailand,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",1-2 hour,Pedro Flores Maldonado,,Diego Carlos Seyfarth,TV-MA,3.9,,,,,,2020-05-06,,A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,120.0
1169,theboysintheband,Movie,United States,2020-09-30,Drama,127,Drama,"LGBTQ Dramas,Dramas,LGBTQ Films,US Movies,Critically Acclaimed Films,Critically Acclaimed Dramas",English,3.4,"Canada,Lithuania,Australia,Mexico,Poland,South Africa,Brazil,France,Thailand,India,Iceland,Italy,Singapore,Hong Kong,Spain,Argentina,Greece,Japan,Israel,Czech Republic,Switzerland,Belgium,South Korea,Portugal,United Kingdom,United States,Hungary,Russia,Slovakia,Sweden,Netherlands,Germany,Turkey,Malaysia,Colombia,Romania",> 2 hrs,Joe Mantello,"Ned Martel, Mart Crowley","Andrew Rannells, Matt Bomer, Zachary Quinto, Jim Parsons",R,6.8,,70.0,,1.0,,2020-09-30,,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",11516.0
1170,angeleyes,Movie,United States,2001-05-15,Thriller,127,"Drama, Romance","International Films,Crime Dramas,Romantic Films,Romantic Dramas,Romantic Favourites,Dramas,Crime Films",English,2.4,"Argentina,United States,Brazil,Mexico,Colombia",1-2 hour,Luis Mandoki,Gerald Di Pego,"Jeremy Sisto, Jennifer Lopez, Jim Caviezel, Terrence Howard",R,5.6,,39.0,3.0,5.0,"$24,174,218",2017-11-01,Bandai,"When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner whos struggling with traumas of his own.",22562.0
1171,thecroods,Movie,United States,2013-03-22,Animated,127,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12",English,3.3,United States,1-2 hour,"Kirk DeMicco, Chris Sanders","Kirk DeMicco, Chris Sanders, John Cleese","Catherine Keener, Nicolas Cage, Emma Stone, Ryan Reynolds",PG,7.2,72.0,55.0,5.0,46.0,"$187,168,425",2015-04-14,Gizmo Prods.,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",194075.0
1172,alexcross,Movie,United States,2012-10-18,Action,127,"Action, Crime, Mystery, Thriller","Crime Films,Crime Action,Action,Action Thrillers,Action & Adventure,Dramas,Crime Dramas,Crime Action & Adventure,Movies Based on Books","English, German",1.6,"Hungary,Czech Republic,Poland,Slovakia,Romania",1-2 hour,Rob Cohen,"Kerry Williamson, Marc Moss, James Patterson","Edward Burns, Jean Reno, Matthew Fox, Tyler Perry",PG-13,5.2,11.0,30.0,,4.0,"$25,888,412",2015-04-14,"Block/Hanson, Emmett/Furla Films, James Patterson Entertainment",Detective/psychologist Alex Cross faces off against a disturbing serial killer in this exciting action thriller based on James Pattersons novels.,32496.0
1173,whattoexpectwhenyoureexpecting,Movie,United States,2012-05-18,Romance,127,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Films,Films Based on Books,Romantic Favourites,US Movies",English,2.0,"United Kingdom,India,Hungary,Canada,South Korea,Spain,Australia,Poland,Greece,Mexico,Argentina,Colombia,Romania",1-2 hour,Kirk Jones,"Shauna Cross, Heidi Murkoff, Heather Hach","Elizabeth Banks, Chace Crawford, Jennifer Lopez, Cameron Diaz",PG-13,5.7,23.0,41.0,,12.0,"$41,152,203",2015-04-14,Phoenix Pictures,This star-studded rom-com follows the intersecting lives of several couples who hazard the ups and downs of pregnancy and impending parenthood.,70035.0
1174,nocountryforoldmen,Movie,United States,2007-11-08,Thriller,127,"Crime, Drama, Thriller","Dramas,20th Century Period Pieces,Thrillers,Dramas based on a book,Film Noir,Police Dramas,Police Thrillers,Police Movies,Dramas based on contemporary literature,Crime Thrillers,Crime Dramas,Crime Films,Films Based on Books,US Movies,Critically Acclaimed Films,Critically Acclaimed Dramas,Oscar-Winning Films,Modern Classics,Golden Globe Award-Winning Films","English, Spanish",4.4,"United Kingdom,Japan,Hungary,Lithuania,India,South Korea,Canada,Czech Republic,Portugal,Italy,Poland,Greece,Belgium,Netherlands,Israel",> 2 hrs,"Ethan Coen, Joel Coen","Ethan Coen, Joel Coen, Cormac McCarthy","Woody Harrelson, Tommy Lee Jones, Josh Brolin, Javier Bardem",R,8.1,93.0,91.0,164.0,139.0,"$74,283,625",2015-04-14,"Miramax, Paramount Vantage, Scott Rudin Productions","While hunting, Llewelyn Moss stumbles upon a drug deal gone bad and takes off with $2 million in cash, but a psychotic hit man is hot on his trail.",859187.0
1175,gameonacomedycrossoverevent,TV,United States,2020-08-10,Comedy,126,,"Sitcoms,TV Comedies,Kids&#39; TV,Family Watch Together TV",,,"Australia,India,Japan,United Kingdom,Germany,Lithuania,France,Iceland,Italy,Spain,Mexico,Greece,Belgium,Thailand,Portugal,Hungary,Singapore,Canada,Czech Republic,South Africa,Argentina,Switzerland,Brazil,Poland,Hong Kong,South Korea,United States,Russia,Israel,Netherlands,Slovakia,Sweden,Turkey,Malaysia,Colombia,Romania",< 30 minutes,,,,,,,,,,,2020-08-11,,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.",
1176,imnolongerhere,Movie,Mexico,2020-05-27,Drama,126,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Independent Movies,Mexican Movies,Music & Musicals,International Dramas,Latin American Films,Latin American Music & Musicals,Music,Latin Music,Mexican Dramas,Mexican Music & Musicals,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas","English, Sanskrit",2.8,"Russia,United Kingdom,Slovakia,Czech Republic,South Africa,Lithuania,Argentina,Canada,Iceland,India,Spain,Australia,Portugal,Germany,Hungary,Switzerland,France,Japan,Mexico,Belgium,Sweden,Greece,Hong Kong,Singapore,Thailand,Poland,United States,Turkey,Brazil,Netherlands,Italy,Israel,Malaysia,South Korea,Colombia,Romania",1-2 hour,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,6.5,52.0,51.0,26.0,69.0,"$474,544,677",2020-05-27,Lucasfilm Ltd.,"A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.",733336.0
1177,portraitofabeauty,Movie,Turkey,2019-12-13,Horror,126,"Drama, Romance","Horror Movies,Chilling Horror Movies,Turkish Movies",Korean,7.9,"Lithuania,Russia,Hungary,Belgium,Czech Republic,Netherlands,Germany,Poland,Slovakia,Turkey,Romania",> 2 hrs,Yun-su Jeon,"Su-ryeon Han, Yun-su Jeon","Ja-Hyeon Chu, Yeong-ho Kim, Nam-gil Kim, Gyu-ri Kim",PG-13,6.5,,,2.0,8.0,,2020-05-14,CJ Entertainment,"After receiving news that her long-estranged father is dead, a woman returns to the house she fled as a teenager, only to find a dark mystery there.",638.0
1178,jungle,Movie,Australia,2017-10-20,Thriller,126,"Action, Adventure, Biography, Drama, Thriller","Thrillers,Movies Based on Real Life,Australian Movies,Dramas,Movies based on Books,Action & Adventure,Adventures","English, Spanish, German",2.9,Japan,1-2 hour,Greg McLean,"Justin Monjo, Yossi Ghinsberg","Thomas Kretschmann, Alex Russell, Daniel Radcliffe, Joel Jackson",R,6.7,60.0,48.0,2.0,5.0,,2019-08-01,Screen Australia,"After getting separated from his friends in the middle of the Amazon Jungle, a traveler tries to survive three desperate weeks on his own.",49096.0
1179,10000bc,Movie,United States,2008-03-05,Adventure,126,"Action, Adventure, Drama, Fantasy, History","Action Thrillers,Action & Adventure,Adventures,Action Movies",English,1.6,"Belgium,France,Switzerland,Australia,Turkey",1-2 hour,Roland Emmerich,"Roland Emmerich, Harald Kloser","Joel Virgel, Cliff Curtis, Steven Strait, Camilla Belle",PG-13,5.1,9.0,34.0,,,"$94,784,201",2015-04-14,"Moonlighting Films, Legendary Pictures, Namibia Film Commission, Centropolis Entertainment, Warner Bros.",Fierce mammoth hunter DLeh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,125902.0
1180,ponyo,Movie,Japan,2008-07-19,Animated,126,"Animation, Adventure, Comedy, Family, Fantasy","Anime,Animal Tales,Family Adventures,Children & Family Films,Anime Feature Films,Japanese Films,Family Features",Japanese,4.2,"Russia,South Korea,Hong Kong,Portugal,Hungary,India,Lithuania,Mexico,France,Thailand,South Africa,Romania,Belgium,United Kingdom,Switzerland,Canada,Iceland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Colombia",1-2 hour,Hayao Miyazaki,Hayao Miyazaki,"George Tokoro, Yûki Amami, Kazushige Nagashima, Tomoko Yamaguchi",G,7.7,91.0,86.0,12.0,20.0,"$15,743,471",2015-04-14,"Studio Ghibli, Walt Disney Studios","A 5-year-old boy named Sosuke forges a friendship with a goldfish princess named Ponyo, who desperately wants to become human.",125910.0
1181,slaughterhouserulez,Movie,United Kingdom,2018-10-31,Comedy,125,"Action, Comedy, Fantasy, Horror, Thriller","Teen Movies,Teen Screams,Horror Movies,Comedies,Dark Comedies,Horror Comedies,British Movies,Creature Features,Monster Films,British Comedies,British Horror Films",English,2.2,"Hong Kong,Russia,Lithuania,United Kingdom,Thailand,Belgium,Czech Republic,Spain,Portugal,Poland,Singapore,Malaysia,Slovakia,Sweden,Germany,Switzerland,Canada",1-2 hour,Crispian Mills,"Luke Passmore, Henry Fitzherbert, Crispian Mills","Margot Robbie, Asa Butterfield, Michael Sheen, Simon Pegg",R,5.3,38.0,39.0,,,"$4,665",2019-09-18,Catalyst Global Media,"New to town, a middle-class teen flounders at a top boarding school when a nearby sinkhole at a fracking site unleashes tremors of terror.",12195.0
1182,adrift,Movie,United States,2018-05-31,Thriller,125,"Action, Adventure, Biography, Drama, Romance, Thriller","Dramas based on Books,Dramas,Action & Adventure,Romantic Favorites,Romantic Movies,Romantic Dramas,Adventures,Dramas based on Real Life,Films Based on Real Life,Films Based on Books,Sports Movies,Sports Dramas","English, French",3.2,"Canada,Slovakia,Hungary,Switzerland,Australia,Czech Republic,Belgium,United States,Malaysia,Netherlands,Romania",1-2 hour,Baltasar Kormákur,"Tami Ashcraft, Susea McGearhart, Jordan Kandell, David Branson Smith, Aaron Kandell","Shailene Woodley, Jeffrey Thomas, Sam Claflin, Elizabeth Hawthorne",PG-13,6.6,69.0,56.0,,6.0,"$31,445,012",2019-01-01,"Huayi Brothers, Lakeshore Entertainment, RVK Studios, Ingenious Media, STX Entertainment",A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,47885.0
1183,dyingofthelight,Movie,United States,2014-12-04,Thriller,125,"Action, Drama, Thriller","Dramas,Thrillers,Psychological Thrillers,Spy Thrillers","English, Romanian, Arabic",1.5,"Romania,Hungary,Belgium,Brazil,Czech Republic,South Africa,Argentina,Slovakia,Mexico,Colombia",1-2 hour,Paul Schrader,Paul Schrader,"Anton Yelchin, Nicolas Cage, Alexander Karim, Irène Jacob",R,4.5,8.0,31.0,,,,2015-10-07,"Over Under Media, TinRes Entertainment","A CIA operative diagnosed with dementia discovers that a terrorist long presumed dead has resurfaced, forcing him on one last mission.",9799.0
1184,ghostriderspiritofvengeance,Movie,United States,2011-12-10,Superhero,125,"Action, Fantasy, Thriller","Action,Action Thrillers,Blockbuster Movies,Action & Adventure,Comic Book and Superhero Films","English, Romanian",1.6,"Canada,Hungary,Australia,Sweden,Spain,Romania",1-2 hour,"Mark Neveldine, Brian Taylor","Seth Hoffman, David S. Goyer, Scott M. Gimple","Nicolas Cage, Idris Elba, Ciarán Hinds, Violante Placido",PG-13,4.3,18.0,34.0,,4.0,"$51,774,002",2015-04-14,"Columbia Pictures, Crystal Sky, Hyde Park Entertainment","When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",111138.0
1185,thehowsofus,Movie,Philippines,2018-08-29,Drama,124,"Drama, Romance","Romantic Dramas,Dramas,Romantic Movies,Filipino Movies","Filipino, Tagalog, English",7.6,"Lithuania,Russia,India,Germany,Czech Republic,Mexico,United States,Australia,Poland,Hong Kong,Japan,France,Singapore,Spain,Argentina,Greece,Switzerland,Slovakia,Sweden,Belgium,Turkey,Malaysia,Hungary,Thailand,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania",1-2 hour,Cathy Garcia-Molina,"Crystal S. San Miguel, Gilliann Ebreo, Carmi Raymundo, Cathy Garcia-Molina","Jean Garcia, Kathryn Bernardo, Darren Espanto, Daniel Padilla",,7.3,80.0,,3.0,16.0,,2020-10-21,,"A young couples house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?",2495.0
1186,allbecauseofyou,Movie,Malaysia,2020-10-01,Comedy,124,"Action, Comedy, Romance","Action & Adventure,Romantic Comedies,Comedies,Romantic Movies,Action Comedies,Malaysian Movies,Satires,Asian Action Films",Malay,6.7,"Lithuania,Spain,United Kingdom,Russia,India,Czech Republic,Germany,Mexico,United States,Australia,Poland,Hong Kong,Japan,Canada,France,Singapore,Argentina,Greece,Switzerland,Slovakia,Sweden,Thailand,Belgium,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania",1-2 hour,Adrian Teh,"Hairul Azreen, Nazri M. Annuar","Janna Nick, Henley Hii, Amerul Affendi, Hairul Azreen",TV-PG,3.6,,,,,,2020-10-01,,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",147.0
1187,kingofmahjong,Movie,Singapore,2015-02-19,Comedy,124,Comedy,"Comedies,Singaporean Movies",Chinese,7.6,Hong Kong,1-2 hour,Adrian Teh,,"Bao-Quan Chong, Richard Low, Cheronna Ng, Mark Lee",,5.2,,,,,,2020-08-02,Zingshot Productions,"Goaded by an old mahjong nemesis, now an insufferable and ruthless world champion, a shop owner considers a return to the table to settle the score.",77.0
1188,brawlincellblock99,Movie,United States,2017-09-23,Thriller,124,"Action, Crime, Drama, Thriller","Action Thrillers,Crime Movies,Action & Adventure,Critically-acclaimed Movies,Independent Action & Adventure,Independent Movies,Crime Action & Adventure,Crime Action,Action,US Movies",English,4.0,"South Korea,Malaysia,Spain",> 2 hrs,S. Craig Zahler,S. Craig Zahler,"Don Johnson, Udo Kier, Jennifer Carpenter, Vince Vaughn",Not Rated,7.1,90.0,79.0,,4.0,,2019-01-01,"XYZ Films, IMG Media","A former boxer runs drugs for a living, but when a botched deal gets him jailed, he must take violent measures to protect his wife and unborn child.",59361.0
1189,callmebyyourname,Movie,Italy,2017-10-27,Drama,124,"Drama, Romance","Oscar-winning Movies,Dramas,Independent Dramas,International Movies,Independent Movies,Romantic Movies,Award-winning Movies,Romantic Independent Movies,Dramas based on Books,Romantic Dramas,Romantic Movies based on Books,Italian Movies,LGBTQ Movies,Movies Based on Books,LGBTQ Dramas,Romantic LGBTQ Movies,Italian Dramas,Romantic Italian Movies","English, Italian, French, German, Hebrew",4.4,"Romania,Switzerland,Belgium,South Korea,Netherlands,Iceland,Italy,Australia,Turkey,Poland,Spain,Greece,Czech Republic,Hungary,Slovakia,Lithuania,Portugal,India,Mexico,Argentina,Brazil,Colombia,France",> 2 hrs,Luca Guadagnino,"James Ivory, André Aciman","Timothée Chalamet, Michael Stuhlbarg, Armie Hammer, Amira Casar",R,7.9,94.0,93.0,97.0,255.0,"$18,095,701",2018-10-01,"RT Features, La Cinéfacture, Frenesy Film","In the summer of 1983, 17-year-old Elio forms a life-changing bond with his fathers charismatic research assistant Oliver in the Italian countryside.",215122.0
1190,storks,Movie,United States,2016-09-22,Animated,124,"Animation, Adventure, Comedy, Family, Fantasy","Films for ages 8 to 10,Animal Tales,Children & Family Films,Comedies,Family Features,Films for ages 5 to 7,Family Comedies,US Movies",English,3.2,"France,Belgium,Switzerland,South Korea,Japan,Brazil,Germany,Italy,Argentina,Greece,Turkey,Mexico,Colombia",1-2 hour,"Nicholas Stoller, Doug Sweetland",Nicholas Stoller,"Andy Samberg, Kelsey Grammer, Katie Crown, Jennifer Aniston",PG,6.8,66.0,56.0,5.0,4.0,"$72,679,278",2017-06-22,"Sony Pictures Imageworks, Ratpac Entertainment, Warner Animation Group, Warner Bros. Pictures","Junior and his fellow storks only deliver packages now, but theyll have to make an exception when one very special baby order squeaks through.",56294.0
1191,eurotrip,Movie,United States,2004-02-20,Comedy,124,Comedy,"Comedies,Late Night Comedies,Teen Films,Laugh-Out-Loud Comedies","English, French, German, Italian, Japanese",2.0,"Hungary,Switzerland,Czech Republic,Germany,Iceland,Italy,Poland,Greece,Slovakia,Sweden,Turkey,Romania,Mexico,Argentina,Brazil,Colombia",1-2 hour,"Alec Berg, David Mandel, Jeff Schaffer","Alec Berg, David Mandel, Jeff Schaffer","Cathy Meils, Jacob Pitts, Kristin Kreuk, Scott Mechlowicz",R,6.6,9.0,45.0,,2.0,"$17,771,387",2015-04-14,Paramount,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",195476.0
1192,8,Movie,South Africa,2020-03-13,Horror,123,"Short, War","African Films,Horror Films,Thrillers,Chilling Horror Films,South African Films",None,8.2,South Africa,1-2 hour,Acim Vasic,Acim Vasic,"Guillaume Tavi, Nicky Naudé",,7.5,,,,2.0,,2020-06-23,,"After inheriting his estranged fathers countryside home, a man hires a mysterious farmhand with a demonic secret that draws his family closer to death.",1132.0
1193,myfather,Movie,Turkey,2017-01-01,Drama,298,Drama,"Dramas,Turkish Movies","Korean, English",8.4,"Lithuania,Russia,Hungary,Czech Republic,Germany,Israel,Poland,Turkey",> 2 hrs,Dong-hyuk Hwang,Dong-hyuk Hwang,"Daniel Henney, Sarah Chang, Martin Lord Cayce, Jeong-nam Choi",,6.9,,,4.0,2.0,,2020-07-03,Twentieth Century Fox,"After his wifes sudden death, a man takes care of his son living with a disability with help from a new employee at his struggling factory.",168.0
1194,hop,Movie,United Kingdom,2011-03-30,Animated,123,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Children & Family Films,Films for ages 8 to 10,Comedies","English, Chinese, Spanish, French, Ukrainian",2.0,"South Africa,United States,Czech Republic,Spain,Mexico,Poland,Hungary,Australia,Japan,France,Argentina,Greece,Switzerland,Slovakia,Belgium,Brazil,Netherlands,Portugal,Lithuania,Italy,Thailand,Sweden,Germany,Israel,Turkey,India,Hong Kong,South Korea,Russia,Iceland,Singapore,Malaysia,Colombia,Romania",1-2 hour,Tim Hill,"Ken Daurio, Brian Lynch, Cinco Paul","Hank Azaria, James Marsden, Kaley Cuoco, Russell Brand",PG,5.4,24.0,41.0,,2.0,"$108,085,305",2015-04-14,Illumination Entertainment,A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbits duties so the holiday can continue.,31349.0
1195,takinglives,Movie,United States,2004-03-16,Thriller,123,"Crime, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Crime Films,Films Based on Books,US Movies","English, French",2.0,"France,Belgium,South Korea,Switzerland,United Kingdom,Australia,Turkey",1-2 hour,D.J. Caruso,"Jon Bokenkamp, Michael Pye","Gena Rowlands, Angelina Jolie, Ethan Hawke, Kiefer Sutherland",R,6.3,22.0,38.0,,4.0,"$32,682,342",2015-08-02,"Warner Brothers, Taking Lives Films, Village Roadshow Prod.",FBI profiler Illeana Scott is recruited to assist the police in their desperate search for a serial killer who assumes the identities of his victims.,81876.0
1196,basicinstinct,Movie,United States,1992-03-20,Thriller,123,"Drama, Mystery, Thriller","Crime Films,Thrillers,Crime Thrillers,Psychological Thrillers,Mysteries,Classic Movies,Classic Thrillers,Modern Classics,Film Noir,Police Thrillers,Police Mysteries,Police Movies,US Movies,Classic International Movies,Steamy Thrillers,Steamy Thrillers",English,2.7,"Poland,Sweden,Argentina,South Korea,Japan,Spain,Switzerland,Belgium,Turkey,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,India,Mexico,Israel,Colombia",> 2 hrs,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Jeanne Tripplehorn, Sharon Stone, George Dzundza",R,7.0,54.0,41.0,5.0,23.0,"$117,727,224",2015-04-14,"TriStar Pictures, Carolco Pictures Inc.","Det. Curran pursues a case involving Catherine, a writer and temptress who is suspected in a murder reminiscent of a crime detailed in her book.",179196.0
1197,thedayaftertomorrow,Movie,United States,2004-05-24,Science Fiction,123,"Action, Adventure, Sci-Fi, Thriller","Action Sci-Fi & Fantasy,Sci-Fi,Action & Adventure,Sci-Fi & Fantasy,Action,Action Thrillers,Films Based on Books,Sci-Fi Thrillers","English, Japanese, French, Arabic",2.6,"South Korea,Switzerland,Hong Kong,Thailand,Germany,Singapore,Malaysia",> 2 hrs,Roland Emmerich,"Jeffrey Nachmanoff, Roland Emmerich","Dennis Quaid, Emmy Rossum, Jake Gyllenhaal, Dash Mihok",PG-13,6.4,45.0,47.0,6.0,12.0,"$186,740,799",2016-09-13,"Centropolis Film Productions, Tomorrow Films, Mark Gordon Productions","After years of unabated global warming, the greenhouse effect is wreaking havoc all over the globe in the form of catastrophic natural disasters.",415828.0
1198,thetrial,TV,United Kingdom,2019-11-29,Crime,122,Crime,"TV Dramas,Crime TV Dramas,Italian TV Shows",Italian,7.4,"Italy,Slovakia,India,Lithuania,Czech Republic,South Africa,Greece,Israel,Brazil,Spain,Mexico,Portugal,Canada,Iceland,Turkey,Argentina,United Kingdom,Singapore,France,Thailand,Belgium,United States,Romania,Switzerland,Australia,Hong Kong,Japan,South Korea,Russia,Sweden,Netherlands,Poland,Germany,Hungary,Malaysia,Colombia",< 30 minutes,,Alessandro Fabbri,"Vittoria Puccini, Simone Colombari, Francesco Scianna, Camilla Filippi",TV-MA,7.0,,,,,,2019-12-18,,"The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says shes innocent.",2158.0
1199,rampant,Movie,South Korea,2018-10-25,Horror,122,"Action, Horror","Korean Movies,Action & Adventure,Sci-Fi & Fantasy,Horror Movies,Fantasy Movies,Blockbuster Action & Adventure,Action Sci-Fi & Fantasy,Zombie Horror Films","Korean, Mandarin, Dutch",6.5,"South Korea,Thailand,Brazil,Spain,Argentina,Mexico,Colombia",> 2 hrs,Sung-hoon Kim,"Shin-yeon Won, Jo-yun Hwang, Hwang Jo Yoon","Jang Dong-Gun, Hyun Bin, Kim Tae-Woo, Seo Ji-Hye",Not Rated,6.3,62.0,,1.0,,"$167,937",2019-04-22,,"When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures -- but they’re not the only threat.",3348.0
1200,anunremarkablechristmas,Movie,Colombia,2020-12-17,Comedy,121,"Comedy, Drama","Teen Films,Dramas,Comedies,Colombian Movies",Spanish,6.8,"Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Israel,Switzerland,United Kingdom,Malaysia,Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Sweden,Netherlands,Germany,Turkey,Australia,Brazil,India,Hong Kong,Japan,South Korea,United States,Russia,France,Colombia,Romania",1-2 hour,Juan Camilo Pinzon,Dago García,"Aura Cristina Geithner, Julián Cerati, Mariana Gómez, Luis Eduardo Arango",TV-14,3.6,,,,,,2020-12-17,,An accountant and aspiring magician invites his boss to spend Christmas with his family â€” unaware that hes one of Colombias most-wanted criminals.,92.0
1201,gokusenthemovie,Movie,,2009-07-11,,121,"Comedy, Drama","Dramas,Comedies,Japanese Movies,Youth Movies,Japanese Youth Dramas",Japanese,7.8,Japan,1-2 hour,Tôya Satô,"Kozueko Morimoto, Michiru Egashira, Yûko Matsuda","Katsuhisa Namase, Aya Hirayama, Yukie Nakama, Aki Hoshino",,6.1,,,1.0,,,2020-12-01,,"Enthusiastic teacher Yankumi is moved when a former student comes to her school as a student teacher, but sheâ€™s got her current students to worry about!",493.0
1202,hometownholiday,Movie,Canada,2018-11-09,Romance,121,Romance,"Romantic Movies,Movies Based on Books",English,7.2,"United States,Australia",1-2 hour,Justin G. Dyck,"Amanda McNeice, Caro Carson","Samantha Gracie, Bradley Hamilton, Sarah Troyer, Kevin McGarry",TV-PG,5.1,,,,,,2020-11-16,,"An ambitious entertainment lawyer tries to sign a singing sensation in his sisters small town, but a local soon captures his attention â€” and heart.",704.0
1203,emprovaamigadoinimigo,Movie,Brazil,2020-01-01,Comedy,121,,"Brazilian Movies,Late Night Comedies,Brazilian Dramas,Dramas,Comedies,Mysteries,Brazilian Comedies",,,"Portugal,Brazil",1-2 hour,,,,,,,,,,,2020-08-30,,A popular student tries to unmask the author of an anonymous social media account who is tearing apart her boarding school with gossip.,
1204,triplefrontier,Movie,United States,2019-03-06,Crime,121,"Action, Adventure, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Gangster Movies","English, Spanish, Portuguese",3.3,"Spain,United Kingdom,Czech Republic,Canada,Switzerland,Hong Kong,South Africa,United States,Argentina,Mexico,Belgium,Australia,Singapore,Japan,France,South Korea,Russia,Romania,Netherlands,Sweden,Poland,India,Lithuania,Germany,Brazil,Slovakia,Greece,Portugal,Israel,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",> 2 hrs,J.C. Chandor,"J.C. Chandor, Mark Boal","Garrett Hedlund, Ben Affleck, Charlie Hunnam, Oscar Isaac",R,6.4,71.0,61.0,,3.0,,2019-03-13,Atlas Entertainment,"Loyalties are tested when five former special forces operatives reunite to steal a drug lords fortune, unleashing a chain of unintended consequences.",108504.0
1205,dinnerforschmucks,Movie,France,2010-07-30,Comedy,121,Comedy,"Comedies,US Movies",English,2.6,"Germany,United Kingdom,Canada,Italy,Switzerland",1-2 hour,Jay Roach,"Francis Veber, David Guion, Michael Handelman","Zach Galifianakis, Steve Carell, Jemaine Clement, Paul Rudd",PG-13,5.9,42.0,56.0,,1.0,"$73,026,337",2015-04-14,"Parkes/MacDonald, Everyman Pictures",The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.,101490.0
