,Title,Series or Movie,COUNTRY,Release Date,GENRE,VALUE,Genre_all,Tags,Languages,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,Production House,Summary,IMDb Votes
129,loveweddingrepeat,Movie,United Kingdom,2020-04-10,Comedy,3281,"Comedy, Romance","Romantic Movies,Comedies,Romantic Comedies,British Movies",English,2.4,"Spain,Mexico,Portugal,Iceland,Argentina,Turkey,Singapore,Thailand,Belgium,South Africa,Greece,Israel,Japan,South Korea,Russia,Hong Kong,Poland,Sweden,Netherlands,Australia,Germany,Lithuania,Brazil,United States,Romania,United Kingdom,Czech Republic,Hungary,Slovakia,India,France,Italy,Switzerland,Canada,Malaysia,Colombia",1-2 hour,Dean Craig,"Francis Nief, Dean Craig, Christelle Raynal","Olivia Munn, Eleanor Tomlinson, Sam Claflin, Freida Pinto",TV-MA,5.5,,41.0,,,,2020-04-10,,"Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sisters wedding.",17484.0
130,despicableme,Movie,United States,2010-07-09,Animated,3270,"Animation, Comedy, Crime, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Children & Family Films,Films for ages 8 to 10,Films for ages 5 to 7,Comedies,US Movies",English,3.8,"Japan,South Korea,Russia,Romania,Hong Kong,Iceland,Hungary,Lithuania,Portugal,Belgium,France,South Africa,Switzerland,Thailand,Brazil,Czech Republic,Netherlands,Spain,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Mexico,United Kingdom,Colombia",1-2 hour,"Pierre Coffin, Chris Renaud","Ken Daurio, Sergio Pablos, Cinco Paul","Jason Segel, Julie Andrews, Russell Brand, Steve Carell",PG,7.6,81.0,72.0,3.0,41.0,"$251,513,985",2015-04-14,"Chris Meledandri, Illumination Films",Villainous Gru hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.,501810.0
131,aliceinborderland,TV,Japan,2020-12-10,Science Fiction,3239,"Action, Fantasy, Mystery, Sci-Fi, Thriller","TV Action & Adventure,Japanese TV Shows,TV Thrillers,TV Shows Based on Manga,Sci-Fi TV",English,3.9,"Netherlands,Lithuania,Australia,Canada,Poland,Mexico,Brazil,France,South Africa,India,Iceland,Thailand,Hong Kong,Japan,Singapore,Spain,Argentina,South Korea,Greece,United States,Czech Republic,Russia,Switzerland,Belgium,United Kingdom,Portugal,Malaysia,Hungary,Slovakia,Sweden,Germany,Turkey,Italy,Israel,Colombia,Romania",< 30 minutes,,,"Yûki Morinaga, Tao Tsuchiya, Kento Yamazaki, Keita Machida",TV-MA,7.7,,,,,,2020-12-10,,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where theyre forced to compete in a series of sadistic games to survive.",16892.0
132,santana,Movie,Angola,2020-08-28,Action,3239,"Action, Crime, Drama","Action & Adventure,African Movies,Crime Action & Adventure,International Action & Adventure,South African Movies,Crime Movies,Action Movies,Crime Action","Portuguese, English",6.5,"Brazil,United States,Spain,Czech Republic,Israel,Lithuania,Mexico,Australia,Poland,South Africa,France,Iceland,Thailand,India,Italy,Singapore,Hong Kong,Greece,Argentina,Japan,Belgium,United Kingdom,Portugal,South Korea,Hungary,Russia,Slovakia,Netherlands,Germany,Sweden,Canada,Switzerland,Turkey,Malaysia,Colombia,Romania",1-2 hour,"Chris Roland, Maradona Dias Dos Santos","Chris Roland, Maradona Dias Dos Santos","Amanda Brown, Terence Bridgett, Paulo Americano, Dalton Borralho",TV-MA,3.8,,,,,,2020-08-28,,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.,787.0
133,ababysittersguidetomonsterhunting,Movie,United States,2020-10-14,Adventure,3215,,"Children & Family Movies,Movies Based on Books,Family Features,Family Sci-Fi & Fantasy,Family Adventures,US Movies,Family Cozy Time",English,9.1,"Lithuania,Canada,Australia,Poland,Mexico,France,Brazil,Iceland,South Africa,Italy,India,Thailand,Spain,Hong Kong,Greece,Singapore,Czech Republic,Argentina,Japan,Belgium,Israel,South Korea,Portugal,Switzerland,Hungary,United States,United Kingdom,Slovakia,Russia,Sweden,Netherlands,Germany,Turkey,Malaysia,Colombia,Romania",1-2 hour,,James Howe,"Michele Abrams, Thom Adcox-Hernandez, Shane Meier, Emilee Barber",,8.2,,,,,,2020-10-15,,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy shes watching on Halloween.",8.0
134,thesecretdaretodream,Movie,United States,2020-04-16,Drama,3190,"Drama, Romance","Romantic Dramas,Dramas,Romantic Films,Films Based on Books",English,3.1,"United Kingdom,Mexico,France,Brazil,Japan,Czech Republic,Hungary,South Korea,Italy,Poland,Argentina,Slovakia,Sweden,Turkey,Colombia,Romania",1-2 hour,Andy Tennant,"Rick Parks, Rhonda Byrne, Andy Tennant, Bekah Brunstetter","Jerry O'Connell, Josh Lucas, Celia Weston, Katie Holmes",PG,6.4,,32.0,,1.0,,2020-11-05,,"As she endures a storm of struggle, a widow meets an uplifting professor who hesitates to deliver a message that could change her life.",8664.0
135,thehalfofit,Movie,United States,2020-05-01,Comedy,3185,"Comedy, Drama, Romance","Teen Movies,LGBTQ Movies,Comedies,Dramas,US Movies,LGBTQ Dramas,LGBTQ Comedies,Romantic Dramas,Romantic LGBTQ Films,Romantic Comedies,Romantic Films,Teen Romance,Youth Drama,Romantic Youth Drama,Quirky Romance,Romantic Favorites","Spanish, English, Mandarin, French, Hindi",3.6,"Slovakia,Lithuania,Spain,United Kingdom,Hong Kong,India,Russia,Poland,Netherlands,Hungary,Germany,Portugal,Sweden,Switzerland,United States,Canada,France,Czech Republic,Iceland,Turkey,Romania,Belgium,Greece,Italy,Mexico,Thailand,Brazil,Australia,Japan,South Korea,South Africa,Singapore,Israel,Argentina,Malaysia,Colombia",1-2 hour,Alice Wu,Alice Wu,"Wolfgang Novogratz, Daniel Diemer, Leah Lewis, Alexxis Lemire",PG-13,6.9,,74.0,2.0,7.0,,2020-05-01,,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesnt expect to become his friend — or fall for his crush.",28540.0
136,johnnyenglishstrikesagain,Movie,United Kingdom,2018-09-13,Comedy,3158,"Action, Adventure, Comedy","Comedies,Action & Adventure,Action Comedies,Adventures,Family Comedies,US Movies,Children & Family Movies,Spy Action & Adventure,Satires,Slapstick Comedies,Family Cozy Time,Family Features","English, Russian, French, German",2.3,"India,Hong Kong,Hungary,Czech Republic,South Africa,Portugal,Slovakia,Romania,South Korea",1-2 hour,David Kerr,William Davies,"Adam James, Emma Thompson, Kevin Eldon, Rowan Atkinson",PG,6.2,37.0,39.0,1.0,,"$4,412,170",2019-07-18,"StudioCanal, Perfect World Pictures, Working Title Films","After a cyberattack exposes every undercover agent in Britain, a certain tech-challenged former agent emerges from retirement to catch the hacker.",64765.0
137,bigmouth,TV,United States,2017-09-29,Animation,3144,"Animation, Comedy, Romance","Adult Animation,TV Animated Comedies,TV Comedies,TV Programmes",English,4.0,"United States,Germany,United Kingdom,France,Czech Republic,Poland,Australia,Netherlands,Singapore,Sweden,Canada,Brazil,Lithuania,Spain,India,Argentina,Hong Kong,Russia,Slovakia,Israel,Japan,Romania,Mexico,South Korea,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Nick Kroll, Andrew Goldberg, Jennifer Flackett, Mark Levin","Nick Kroll, Jason Mantzoukas, Jessi Klein, John Mulaney",TV-MA,8.0,,,3.0,29.0,,2017-09-29,,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,56818.0
138,moneyheistthephenomenon,Movie,Spain,2020-04-03,Documentary,2980,Documentary,"Documentary Films,Spanish Movies",Spanish,7.7,"Brazil,Spain,Italy,Mexico,Israel,Argentina,Iceland,Singapore,Belgium,Portugal,Thailand,Turkey,South Africa,Greece,South Korea,France,Hong Kong,Russia,Switzerland,Poland,Netherlands,Sweden,Germany,Lithuania,Romania,United States,Australia,Japan,Hungary,Slovakia,India,Canada,United Kingdom,Czech Republic,Malaysia,Colombia",30-60 mins,"Luis Alfaro, Pablo Lejarreta","Javier Gómez Santander, Álex Pina, Pablo Lejarreta",,TV-14,7.5,,,,,,2020-04-03,,A documentary on why and how Money Heist sparked a wave of enthusiasm around the world for a lovable group of thieves and their professor.,2158.0
